ID,Ativo,Tipo,Data_Compra,Preco_Compra,Qtd,Data_Venda,Preco_Venda,Lucro_R$,Lucro_%,Status,Alvo,Stop,Qtd_Restante,Stop_Inicial,Stop_Atual,Perfil
1,ETH,Cripto,2026-09-22 12:08,2742.78,0.364594,2026-09-23 11:39,2717.85009765625,,-0.91,FECHADO,2791.69,2718.32,0.0,2718.32,2718.32,
2,BNB,Cripto,2026-09-22 12:08,786.13,1.272054,2026-09-22 20:09,785.780029296875,-0.45,-0.04,FECHADO,799.36,779.51,,779.51,779.51,
3,ADA,Cripto,2026-09-22 12:08,0.25,4077.305713,2026-09-23 14:29,0.2369000017642974,,-5.24,FECHADO,0.26,0.24,0.0,0.24,0.24,
4,BBAS3,Ação,2026-09-22 12:08,22.99,43.497173,2026-09-24 15:41,21.739999771118164,,-5.44,FECHADO,25.43,21.77,0.0,21.77,21.77,
5,PETR4,Ação,2026-09-22 13:28,47.5,21.052632,,,,,ABERTO,51.06,45.72,,45.72,47.66,
6,ITUB4,Ação,2026-09-22 18:53,43.34,23.073373,,,,,ABERTO,46.46,41.78,,41.78,41.78,
7,BTC,Cripto,2026-09-22 21:08,86304.39,0.011587,2026-09-23 11:28,85527.0,-9.01,-0.9,FECHADO,87667.45,85622.86,0.0,85622.86,85622.86,
8,SOL,Cripto,2026-09-22 23:08,119.11,8.395601,2026-09-23 09:14,117.43000030517578,-14.1,-1.41,FECHADO,121.86,117.74,,117.74,117.74,
9,BNB,Cripto,2026-09-23 01:13,792.12,1.262435,2026-09-23 10:14,783.1799926757812,-11.29,-1.13,FECHADO,804.53,785.91,,785.91,785.91,
10,WEGE3,Ação,2026-09-23 11:28,51.8,19.30502,,,,,ABERTO,55.72,,19.30502,49.84,49.84,equilibrado
11,ADA,Cripto,2026-09-23 15:27,0.24,4166.66676,2026-09-24 16:29,0.25040000677108765,43.33,4.33,FECHADO,0.25,,0.0,0.23,0.24,equilibrado
12,BNB,Cripto,2026-09-24 15:41,780.96,1.280475,,,,,ABERTO,797.32,,1.280475,772.78,772.78,equilibrado
13,BBAS3,Ação,2026-09-24 15:41,21.74,45.998161,,,,,ABERTO,23.96,,45.998161,20.63,20.63,equilibrado
